timestamp,epoch,train_loss,val_loss
1772521311.405248,0,0.5,0.6
1772521311.405482,100,0.5,0.6
1772521311.405536,200,0.5,0.6
1772521311.405589,300,0.5,0.6
1772521311.4056342,400,0.5,0.6
1772521311.405678,500,0.5,0.6
1772521311.40572,600,0.5,0.6
1772521311.405762,700,0.5,0.6
1772521311.405803,800,0.5,0.6
1772521311.405846,900,0.5,0.6
1772521311.405887,1000,0.5,0.6
1772521311.405928,1100,0.5,0.6
1772521311.405968,1200,0.5,0.6
1772521311.406007,1300,0.5,0.6
1772521311.4060469,1400,0.5,0.6
1772521311.406086,1500,0.5,0.6
1772521311.4061282,1600,0.5,0.6
1772521311.4061708,1700,0.5,0.6
1772521311.4062111,1800,0.5,0.6
1772521311.406249,1900,0.5,0.6
1772521311.4062889,2000,0.5,0.6
1772521311.406333,2100,0.5,0.6
1772521311.406372,2200,0.5,0.6
1772521311.40641,2300,0.5,0.6
1772521311.40645,2400,0.5,0.6
1772521311.406492,2500,0.5,0.6
1772521311.4065359,2600,0.5,0.6
1772521311.4065752,2700,0.5,0.6
1772521311.406614,2800,0.5,0.6
1772521311.406657,2900,0.5,0.6
1772521311.4066958,3000,0.5,0.6
1772521311.4067352,3100,0.5,0.6
1772521311.406773,3200,0.5,0.6
1772521311.406813,3300,0.5,0.6
1772521311.406852,3400,0.5,0.6
1772521311.406892,3500,0.5,0.6
1772521311.406931,3600,0.5,0.6
1772521311.406968,3700,0.5,0.6
1772521311.407006,3800,0.5,0.6
1772521311.4070442,3900,0.5,0.6
1772521311.407083,4000,0.5,0.6
1772521311.407121,4100,0.5,0.6
1772521311.407159,4200,0.5,0.6
1772521311.407197,4300,0.5,0.6
1772521311.407236,4400,0.5,0.6
1772521311.407278,4500,0.5,0.6
1772521311.407318,4600,0.5,0.6
1772521311.4073558,4700,0.5,0.6
1772521311.407394,4800,0.5,0.6
1772521311.407433,4900,0.5,0.6
1772521311.4074712,5000,0.5,0.6
1772521311.407508,5100,0.5,0.6
1772521311.407547,5200,0.5,0.6
1772521311.407585,5300,0.5,0.6
1772521311.407627,5400,0.5,0.6
1772521311.407665,5500,0.5,0.6
1772521311.407706,5600,0.5,0.6
1772521311.407746,5700,0.5,0.6
1772521311.407785,5800,0.5,0.6
1772521311.407825,5900,0.5,0.6
1772521311.407866,6000,0.5,0.6
1772521311.407906,6100,0.5,0.6
1772521311.407947,6200,0.5,0.6
1772521311.407985,6300,0.5,0.6
1772521311.408023,6400,0.5,0.6
1772521311.408066,6500,0.5,0.6
1772521311.408106,6600,0.5,0.6
1772521311.408145,6700,0.5,0.6
1772521311.4081862,6800,0.5,0.6
1772521311.408227,6900,0.5,0.6
1772521311.408266,7000,0.5,0.6
1772521311.408305,7100,0.5,0.6
1772521311.408352,7200,0.5,0.6
1772521311.4083898,7300,0.5,0.6
1772521311.408427,7400,0.5,0.6
1772521311.408464,7500,0.5,0.6
1772521311.408504,7600,0.5,0.6
1772521311.408541,7700,0.5,0.6
1772521311.40858,7800,0.5,0.6
1772521311.408617,7900,0.5,0.6
1772521311.408654,8000,0.5,0.6
1772521311.408691,8100,0.5,0.6
1772521311.408729,8200,0.5,0.6
1772521311.408766,8300,0.5,0.6
1772521311.408803,8400,0.5,0.6
1772521311.408839,8500,0.5,0.6
1772521311.408876,8600,0.5,0.6
1772521311.408916,8700,0.5,0.6
1772521311.4089558,8800,0.5,0.6
1772521311.408999,8900,0.5,0.6
1772521311.409036,9000,0.5,0.6
1772521311.4090729,9100,0.5,0.6
1772521311.40911,9200,0.5,0.6
1772521311.4091468,9300,0.5,0.6
1772521311.409185,9400,0.5,0.6
1772521311.4092329,9500,0.5,0.6
1772521311.409271,9600,0.5,0.6
1772521311.4093068,9700,0.5,0.6
1772521311.409345,9800,0.5,0.6
1772521311.409386,9900,0.5,0.6
